date,fg_score,fg_rating
2011-09-20,32,fear
2011-09-21,31,fear
2011-09-22,28,fear
2011-09-23,28,fear
2011-09-26,26,fear
2011-09-27,25,fear
2011-09-28,27,fear
2011-09-29,23,extreme fear
2011-09-30,22,extreme fear
2011-10-03,20,extreme fear
2011-10-04,23,extreme fear
2011-10-05,27,fear
2011-10-06,33,fear
2011-10-07,31,fear
2011-10-10,41,fear
2011-10-11,41,fear
2011-10-12,42,fear
2011-10-13,42,fear
2011-10-14,41,fear
2011-10-17,48,neutral
2011-10-18,48,neutral
2011-10-19,48,neutral
2011-10-20,54,neutral
2011-10-21,66,greed
2011-10-24,62,greed
2011-10-25,62,greed
2011-10-26,71,greed
2011-10-27,67,greed
2011-10-28,66,greed
2011-10-31,62,greed
2011-11-01,62,greed
2011-11-02,62,greed
2011-11-03,63,greed
2011-11-04,60,greed
2011-11-07,65,greed
2011-11-08,65,greed
2011-11-09,59,greed
2011-11-10,60,greed
2011-11-11,60,greed
2011-11-14,54,neutral
2011-11-15,54,neutral
2011-11-16,55,greed
2011-11-17,52,neutral
2011-11-18,46,neutral
2011-11-21,43,fear
2011-11-22,41,fear
2011-11-23,39,fear
2011-11-25,51,neutral
2011-11-28,57,greed
2011-11-29,62,greed
2011-11-30,67,greed
2011-12-01,61,greed
2011-12-02,67,greed
2011-12-05,66,greed
2011-12-06,66,greed
2011-12-07,66,greed
2011-12-08,66,greed
2011-12-09,65,greed
2011-12-12,62,greed
2011-12-13,56,greed
2011-12-14,61,greed
2011-12-15,61,greed
2011-12-16,60,greed
2011-12-19,74,greed
2011-12-20,74,greed
2011-12-21,74,greed
2011-12-22,78,extreme greed
2011-12-23,77,extreme greed
2011-12-27,75,extreme greed
2011-12-28,75,extreme greed
2011-12-29,75,extreme greed
2011-12-30,75,extreme greed
2012-01-03,77,extreme greed
2012-01-04,77,extreme greed
2012-01-05,78,extreme greed
2012-01-06,78,extreme greed
2012-01-09,81,extreme greed
2012-01-10,82,extreme greed
2012-01-11,83,extreme greed
2012-01-12,83,extreme greed
2012-01-13,83,extreme greed
2012-01-17,88,extreme greed
2012-01-18,90,extreme greed
2012-01-19,89,extreme greed
2012-01-20,88,extreme greed
2012-01-23,87,extreme greed
2012-01-24,87,extreme greed
2012-01-25,84,extreme greed
2012-01-26,82,extreme greed
2012-01-27,82,extreme greed
2012-01-30,82,extreme greed
2012-01-31,85,extreme greed
2012-02-01,87,extreme greed
2012-02-02,88,extreme greed
2012-02-03,88,extreme greed
2012-02-06,88,extreme greed
2012-02-07,86,extreme greed
2012-02-08,86,extreme greed
2012-02-09,85,extreme greed
2012-02-10,83,extreme greed
2012-02-13,83,extreme greed
2012-02-14,81,extreme greed
2012-02-15,82,extreme greed
2012-02-16,81,extreme greed
2012-02-17,80,extreme greed
2012-02-21,79,extreme greed
2012-02-22,78,extreme greed
2012-02-23,79,extreme greed
2012-02-24,79,extreme greed
2012-02-27,75,extreme greed
2012-02-28,75,extreme greed
2012-02-29,72,greed
2012-03-01,70,greed
2012-03-02,68,greed
2012-03-05,66,greed
2012-03-06,63,greed
2012-03-07,62,greed
2012-03-08,63,greed
2012-03-09,70,greed
2012-03-12,74,greed
2012-03-13,79,extreme greed
2012-03-14,79,extreme greed
2012-03-15,79,extreme greed
2012-03-16,77,extreme greed
2012-03-19,73,greed
2012-03-20,73,greed
2012-03-21,71,greed
2012-03-22,66,greed
2012-03-23,71,greed
2012-03-26,66,greed
2012-03-27,66,greed
2012-03-28,62,greed
2012-03-29,62,greed
2012-03-30,63,greed
2012-04-02,63,greed
2012-04-03,61,greed
2012-04-04,63,greed
2012-04-05,55,greed
2012-04-09,46,neutral
2012-04-10,39,fear
2012-04-11,39,fear
2012-04-12,38,fear
2012-04-13,38,fear
2012-04-16,37,fear
2012-04-17,37,fear
2012-04-18,36,fear
2012-04-19,35,fear
2012-04-20,35,fear
2012-04-23,34,fear
2012-04-24,34,fear
2012-04-25,38,fear
2012-04-26,40,fear
2012-04-27,41,fear
2012-04-30,43,fear
2012-05-01,42,fear
2012-05-02,42,fear
2012-05-03,41,fear
2012-05-04,41,fear
2012-05-07,38,fear
2012-05-08,32,fear
2012-05-09,32,fear
2012-05-10,32,fear
2012-05-11,25,fear
2012-05-14,23,extreme fear
2012-05-15,20,extreme fear
2012-05-16,14,extreme fear
2012-05-17,12,extreme fear
2012-05-18,12,extreme fear
2012-05-21,16,extreme fear
2012-05-22,15,extreme fear
2012-05-23,15,extreme fear
2012-05-24,14,extreme fear
2012-05-25,13,extreme fear
2012-05-29,14,extreme fear
2012-05-30,12,extreme fear
2012-05-31,10,extreme fear
2012-06-01,10,extreme fear
2012-06-04,14,extreme fear
2012-06-05,14,extreme fear
2012-06-06,15,extreme fear
2012-06-07,16,extreme fear
2012-06-08,19,extreme fear
2012-06-11,20,extreme fear
2012-06-12,22,extreme fear
2012-06-13,19,extreme fear
2012-06-14,27,fear
2012-06-15,35,fear
2012-06-18,36,fear
2012-06-19,36,fear
2012-06-20,36,fear
2012-06-21,33,fear
2012-06-22,33,fear
2012-06-25,39,fear
2012-06-26,41,fear
2012-06-27,41,fear
2012-06-28,48,neutral
2012-06-29,53,neutral
2012-07-02,56,greed
2012-07-03,59,greed
2012-07-05,55,greed
2012-07-06,51,neutral
2012-07-09,46,neutral
2012-07-10,48,neutral
2012-07-11,44,fear
2012-07-12,44,fear
2012-07-13,45,neutral
2012-07-16,48,neutral
2012-07-17,52,neutral
2012-07-18,52,neutral
2012-07-19,51,neutral
2012-07-20,51,neutral
2012-07-23,47,neutral
2012-07-24,41,fear
2012-07-25,51,neutral
2012-07-26,55,greed
2012-07-27,61,greed
2012-07-30,57,greed
2012-07-31,55,greed
2012-08-01,55,greed
2012-08-02,49,neutral
2012-08-03,63,greed
2012-08-06,71,greed
2012-08-07,70,greed
2012-08-08,73,greed
2012-08-09,75,extreme greed
2012-08-10,70,greed
2012-08-13,75,extreme greed
2012-08-14,74,greed
2012-08-15,72,greed
2012-08-16,78,extreme greed
2012-08-17,79,extreme greed
2012-08-20,75,extreme greed
2012-08-21,74,greed
2012-08-22,74,greed
2012-08-23,72,greed
2012-08-24,70,greed
2012-08-27,68,greed
2012-08-28,68,greed
2012-08-29,63,greed
2012-08-30,63,greed
2012-08-31,59,greed
2012-09-04,71,greed
2012-09-05,74,greed
2012-09-06,76,extreme greed
2012-09-07,83,extreme greed
2012-09-10,78,extreme greed
2012-09-11,86,extreme greed
2012-09-12,84,extreme greed
2012-09-13,91,extreme greed
2012-09-14,93,extreme greed
2012-09-17,92,extreme greed
2012-09-18,92,extreme greed
2012-09-19,92,extreme greed
2012-09-20,93,extreme greed
2012-09-21,93,extreme greed
2012-09-24,81,extreme greed
2012-09-25,81,extreme greed
2012-09-26,70,greed
2012-09-27,76,extreme greed
2012-09-28,71,greed
2012-10-01,72,greed
2012-10-02,75,extreme greed
2012-10-03,76,extreme greed
2012-10-04,77,extreme greed
2012-10-05,78,extreme greed
2012-10-08,72,greed
2012-10-09,66,greed
2012-10-10,59,greed
2012-10-11,56,greed
2012-10-12,56,greed
2012-10-15,54,neutral
2012-10-16,63,greed
2012-10-17,61,greed
2012-10-18,53,neutral
2012-10-19,56,greed
2012-10-22,56,greed
2012-10-23,42,fear
2012-10-24,45,neutral
2012-10-25,41,fear
2012-10-26,40,fear
2012-10-31,45,neutral
2012-11-01,50,neutral
2012-11-02,50,neutral
2012-11-05,46,neutral
2012-11-06,47,neutral
2012-11-07,45,neutral
2012-11-08,40,fear
2012-11-09,39,fear
2012-11-12,35,fear
2012-11-13,37,fear
2012-11-14,31,fear
2012-11-15,28,fear
2012-11-16,28,fear
2012-11-19,38,fear
2012-11-20,42,fear
2012-11-21,39,fear
2012-11-23,47,neutral
2012-11-26,47,neutral
2012-11-27,49,neutral
2012-11-28,49,neutral
2012-11-29,52,neutral
2012-11-30,50,neutral
2012-12-03,45,neutral
2012-12-04,45,neutral
2012-12-05,45,neutral
2012-12-06,45,neutral
2012-12-07,51,neutral
2012-12-10,55,greed
2012-12-11,55,greed
2012-12-12,58,greed
2012-12-13,60,greed
2012-12-14,57,greed
2012-12-17,64,greed
2012-12-18,67,greed
2012-12-19,64,greed
2012-12-20,59,greed
2012-12-21,56,greed
2012-12-24,51,neutral
2012-12-26,58,greed
2012-12-27,58,greed
2012-12-28,66,greed
2012-12-31,66,greed
2013-01-02,68,greed
2013-01-03,69,greed
2013-01-04,82,extreme greed
2013-01-07,82,extreme greed
2013-01-08,80,extreme greed
2013-01-09,81,extreme greed
2013-01-10,85,extreme greed
2013-01-11,85,extreme greed
2013-01-14,86,extreme greed
2013-01-15,89,extreme greed
2013-01-16,85,extreme greed
2013-01-17,86,extreme greed
2013-01-18,89,extreme greed
2013-01-22,89,extreme greed
2013-01-23,92,extreme greed
2013-01-24,92,extreme greed
2013-01-25,91,extreme greed
2013-01-28,93,extreme greed
2013-01-29,94,extreme greed
2013-01-30,93,extreme greed
2013-01-31,89,extreme greed
2013-02-01,88,extreme greed
2013-02-04,80,extreme greed
2013-02-05,88,extreme greed
2013-02-06,81,extreme greed
2013-02-07,85,extreme greed
2013-02-08,83,extreme greed
2013-02-11,82,extreme greed
2013-02-12,82,extreme greed
2013-02-13,83,extreme greed
2013-02-14,87,extreme greed
2013-02-15,84,extreme greed
2013-02-19,81,extreme greed
2013-02-20,79,extreme greed
2013-02-21,68,greed
2013-02-22,78,extreme greed
2013-02-25,62,greed
2013-02-26,61,greed
2013-02-27,56,greed
2013-02-28,61,greed
2013-03-01,60,greed
2013-03-04,60,greed
2013-03-05,71,greed
2013-03-06,69,greed
2013-03-07,73,greed
2013-03-08,82,extreme greed
2013-03-11,79,extreme greed
2013-03-12,77,extreme greed
2013-03-13,77,extreme greed
2013-03-14,79,extreme greed
2013-03-15,77,extreme greed
2013-03-18,70,greed
2013-03-19,73,greed
2013-03-20,69,greed
2013-03-21,69,greed
2013-03-22,69,greed
2013-03-25,70,greed
2013-03-26,68,greed
2013-03-27,70,greed
2013-03-28,72,greed
2013-04-01,63,greed
2013-04-02,63,greed
2013-04-03,59,greed
2013-04-04,55,greed
2013-04-05,52,neutral
2013-04-08,53,neutral
2013-04-09,56,greed
2013-04-10,56,greed
2013-04-11,57,greed
2013-04-12,57,greed
2013-04-15,41,fear
2013-04-16,52,neutral
2013-04-17,47,neutral
2013-04-18,35,fear
2013-04-19,41,fear
2013-04-22,42,fear
2013-04-23,46,neutral
2013-04-24,48,neutral
2013-04-25,53,neutral
2013-04-26,53,neutral
2013-04-29,60,greed
2013-04-30,61,greed
2013-05-01,62,greed
2013-05-02,63,greed
2013-05-03,64,greed
2013-05-06,73,greed
2013-05-07,78,extreme greed
2013-05-08,77,extreme greed
2013-05-09,76,extreme greed
2013-05-10,77,extreme greed
2013-05-13,80,extreme greed
2013-05-14,86,extreme greed
2013-05-15,87,extreme greed
2013-05-16,85,extreme greed
2013-05-17,91,extreme greed
2013-05-20,83,extreme greed
2013-05-21,83,extreme greed
2013-05-22,83,extreme greed
2013-05-23,80,extreme greed
2013-05-24,75,extreme greed
2013-05-28,67,greed
2013-05-29,66,greed
2013-05-30,72,greed
2013-05-31,60,greed
2013-06-03,55,greed
2013-06-04,48,neutral
2013-06-05,32,fear
2013-06-06,34,fear
2013-06-07,40,fear
2013-06-10,34,fear
2013-06-11,31,fear
2013-06-12,30,fear
2013-06-13,30,fear
2013-06-14,29,fear
2013-06-17,24,extreme fear
2013-06-18,24,extreme fear
2013-06-19,21,extreme fear
2013-06-20,19,extreme fear
2013-06-21,19,extreme fear
2013-06-24,18,extreme fear
2013-06-25,19,extreme fear
2013-06-26,20,extreme fear
2013-06-27,21,extreme fear
2013-06-28,22,extreme fear
2013-07-01,25,fear
2013-07-02,29,fear
2013-07-03,30,fear
2013-07-05,38,fear
2013-07-08,40,fear
2013-07-09,48,neutral
2013-07-10,49,neutral
2013-07-11,51,neutral
2013-07-12,61,greed
2013-07-15,60,greed
2013-07-16,62,greed
2013-07-17,57,greed
2013-07-18,62,greed
2013-07-19,68,greed
2013-07-22,63,greed
2013-07-23,65,greed
2013-07-24,64,greed
2013-07-25,62,greed
2013-07-26,64,greed
2013-07-29,59,greed
2013-07-30,62,greed
2013-07-31,61,greed
2013-08-01,68,greed
2013-08-02,62,greed
2013-08-05,61,greed
2013-08-06,54,neutral
2013-08-07,47,neutral
2013-08-08,52,neutral
2013-08-09,44,fear
2013-08-12,50,neutral
2013-08-13,50,neutral
2013-08-14,46,neutral
2013-08-15,43,fear
2013-08-16,39,fear
2013-08-19,32,fear
2013-08-20,26,fear
2013-08-21,26,fear
2013-08-22,32,fear
2013-08-23,27,fear
2013-08-26,25,fear
2013-08-27,18,extreme fear
2013-08-28,24,extreme fear
2013-08-29,23,extreme fear
2013-08-30,20,extreme fear
2013-09-03,17,extreme fear
2013-09-04,28,fear
2013-09-05,33,fear
2013-09-06,36,fear
2013-09-09,43,fear
2013-09-10,52,neutral
2013-09-11,47,neutral
2013-09-12,46,neutral
2013-09-13,48,neutral
2013-09-16,50,neutral
2013-09-17,54,neutral
2013-09-18,56,greed
2013-09-19,62,greed
2013-09-20,57,greed
2013-09-23,49,neutral
2013-09-24,48,neutral
2013-09-25,47,neutral
2013-09-26,39,fear
2013-09-27,41,fear
2013-09-30,35,fear
2013-10-01,40,fear
2013-10-02,35,fear
2013-10-03,29,fear
2013-10-04,34,fear
2013-10-07,27,fear
2013-10-08,20,extreme fear
2013-10-09,29,fear
2013-10-10,35,fear
2013-10-11,31,fear
2013-10-14,39,fear
2013-10-15,39,fear
2013-10-16,46,neutral
2013-10-17,48,neutral
2013-10-18,56,greed
2013-10-21,53,neutral
2013-10-22,55,greed
2013-10-23,61,greed
2013-10-24,62,greed
2013-10-25,62,greed
2013-10-28,64,greed
2013-10-29,64,greed
2013-10-30,64,greed
2013-10-31,66,greed
2013-11-01,67,greed
2013-11-04,68,greed
2013-11-05,68,greed
2013-11-06,68,greed
2013-11-07,68,greed
2013-11-08,68,greed
2013-11-11,67,greed
2013-11-12,69,greed
2013-11-13,70,greed
2013-11-14,70,greed
2013-11-15,71,greed
2013-11-18,71,greed
2013-11-19,67,greed
2013-11-20,68,greed
2013-11-21,68,greed
2013-11-22,68,greed
2013-11-25,66,greed
2013-11-26,64,greed
2013-11-27,67,greed
2013-11-29,70,greed
2013-12-02,66,greed
2013-12-03,65,greed
2013-12-04,65,greed
2013-12-05,57,greed
2013-12-06,63,greed
2013-12-09,53,neutral
2013-12-10,52,neutral
2013-12-11,51,neutral
2013-12-12,43,fear
2013-12-13,38,fear
2013-12-16,45,neutral
2013-12-17,38,fear
2013-12-18,49,neutral
2013-12-19,50,neutral
2013-12-20,52,neutral
2013-12-23,61,greed
2013-12-24,66,greed
2013-12-26,63,greed
2013-12-27,72,greed
2013-12-30,70,greed
2013-12-31,77,extreme greed
2014-01-02,71,greed
2014-01-03,66,greed
2014-01-06,64,greed
2014-01-07,67,greed
2014-01-08,64,greed
2014-01-09,68,greed
2014-01-10,66,greed
2014-01-13,61,greed
2014-01-14,68,greed
2014-01-15,65,greed
2014-01-16,63,greed
2014-01-17,59,greed
2014-01-21,62,greed
2014-01-22,45,neutral
2014-01-23,46,neutral
2014-01-24,27,fear
2014-01-27,25,fear
2014-01-28,29,fear
2014-01-29,20,extreme fear
2014-01-30,18,extreme fear
2014-01-31,20,extreme fear
2014-02-03,13,extreme fear
2014-02-04,15,extreme fear
2014-02-05,20,extreme fear
2014-02-06,17,extreme fear
2014-02-07,22,extreme fear
2014-02-10,28,fear
2014-02-11,29,fear
2014-02-12,32,fear
2014-02-13,32,fear
2014-02-14,30,fear
2014-02-18,42,fear
2014-02-19,39,fear
2014-02-20,45,neutral
2014-02-21,48,neutral
2014-02-24,55,greed
2014-02-25,57,greed
2014-02-26,58,greed
2014-02-27,62,greed
2014-02-28,56,greed
2014-03-03,63,greed
2014-03-04,66,greed
2014-03-05,78,extreme greed
2014-03-06,80,extreme greed
2014-03-07,81,extreme greed
2014-03-10,81,extreme greed
2014-03-11,76,extreme greed
2014-03-12,57,greed
2014-03-13,49,neutral
2014-03-14,44,fear
2014-03-17,49,neutral
2014-03-18,51,neutral
2014-03-19,53,neutral
2014-03-20,54,neutral
2014-03-21,56,greed
2014-03-24,49,neutral
2014-03-25,43,fear
2014-03-26,43,fear
2014-03-27,34,fear
2014-03-28,36,fear
2014-03-31,50,neutral
2014-04-01,51,neutral
2014-04-02,53,neutral
2014-04-03,51,neutral
2014-04-04,49,neutral
2014-04-07,35,fear
2014-04-08,34,fear
2014-04-09,31,fear
2014-04-10,31,fear
2014-04-11,21,extreme fear
2014-04-14,23,extreme fear
2014-04-15,23,extreme fear
2014-04-16,28,fear
2014-04-17,28,fear
2014-04-21,38,fear
2014-04-22,40,fear
2014-04-23,40,fear
2014-04-24,39,fear
2014-04-25,35,fear
2014-04-28,34,fear
2014-04-29,34,fear
2014-04-30,33,fear
2014-05-01,30,fear
2014-05-02,32,fear
2014-05-05,34,fear
2014-05-06,34,fear
2014-05-07,33,fear
2014-05-08,33,fear
2014-05-09,42,fear
2014-05-12,45,neutral
2014-05-13,39,fear
2014-05-14,38,fear
2014-05-15,28,fear
2014-05-16,28,fear
2014-05-19,26,fear
2014-05-20,21,extreme fear
2014-05-21,29,fear
2014-05-22,36,fear
2014-05-23,37,fear
2014-05-27,40,fear
2014-05-28,42,fear
2014-05-29,42,fear
2014-05-30,45,neutral
2014-06-02,58,greed
2014-06-03,66,greed
2014-06-04,66,greed
2014-06-05,81,extreme greed
2014-06-06,81,extreme greed
2014-06-09,89,extreme greed
2014-06-10,90,extreme greed
2014-06-11,88,extreme greed
2014-06-12,83,extreme greed
2014-06-13,85,extreme greed
2014-06-16,87,extreme greed
2014-06-17,88,extreme greed
2014-06-18,94,extreme greed
2014-06-19,95,extreme greed
2014-06-20,95,extreme greed
2014-06-23,93,extreme greed
2014-06-24,83,extreme greed
2014-06-25,83,extreme greed
2014-06-26,77,extreme greed
2014-06-27,76,extreme greed
2014-06-30,87,extreme greed
2014-07-01,87,extreme greed
2014-07-02,87,extreme greed
2014-07-03,86,extreme greed
2014-07-07,68,greed
2014-07-08,74,greed
2014-07-09,62,greed
2014-07-10,56,greed
2014-07-11,57,greed
2014-07-14,59,greed
2014-07-15,56,greed
2014-07-16,55,greed
2014-07-17,32,fear
2014-07-18,46,neutral
2014-07-21,37,fear
2014-07-22,38,fear
2014-07-23,39,fear
2014-07-24,42,fear
2014-07-25,34,fear
2014-07-28,34,fear
2014-07-29,31,fear
2014-07-30,26,fear
2014-07-31,10,extreme fear
2014-08-01,5,extreme fear
2014-08-04,5,extreme fear
2014-08-05,5,extreme fear
2014-08-06,5,extreme fear
2014-08-07,5,extreme fear
2014-08-08,10,extreme fear
2014-08-11,7,extreme fear
2014-08-12,8,extreme fear
2014-08-13,13,extreme fear
2014-08-14,16,extreme fear
2014-08-15,14,extreme fear
2014-08-18,26,fear
2014-08-19,31,fear
2014-08-20,37,fear
2014-08-21,36,fear
2014-08-22,37,fear
2014-08-25,35,fear
2014-08-26,36,fear
2014-08-27,33,fear
2014-08-28,33,fear
2014-08-29,41,fear
2014-09-02,48,neutral
2014-09-03,48,neutral
2014-09-04,47,neutral
2014-09-05,50,neutral
2014-09-08,47,neutral
2014-09-09,42,fear
2014-09-10,45,neutral
2014-09-11,44,fear
2014-09-12,43,fear
2014-09-15,38,fear
2014-09-16,37,fear
2014-09-17,42,fear
2014-09-18,37,fear
2014-09-19,36,fear
2014-09-22,22,extreme fear
2014-09-23,18,extreme fear
2014-09-24,17,extreme fear
2014-09-25,8,extreme fear
2014-09-26,13,extreme fear
2014-09-29,11,extreme fear
2014-09-30,12,extreme fear
2014-10-01,7,extreme fear
2014-10-02,3,extreme fear
2014-10-03,5,extreme fear
2014-10-06,5,extreme fear
2014-10-07,6,extreme fear
2014-10-08,4,extreme fear
2014-10-09,3,extreme fear
2014-10-10,1,extreme fear
2014-10-13,0,extreme fear
2014-10-14,2,extreme fear
2014-10-15,1,extreme fear
2014-10-16,2,extreme fear
2014-10-17,7,extreme fear
2014-10-20,5,extreme fear
2014-10-21,7,extreme fear
2014-10-22,8,extreme fear
2014-10-23,11,extreme fear
2014-10-24,13,extreme fear
2014-10-27,16,extreme fear
2014-10-28,21,extreme fear
2014-10-29,25,fear
2014-10-30,31,fear
2014-10-31,32,fear
2014-11-03,40,fear
2014-11-04,40,fear
2014-11-05,49,neutral
2014-11-06,49,neutral
2014-11-07,55,greed
2014-11-10,57,greed
2014-11-11,58,greed
2014-11-12,56,greed
2014-11-13,54,neutral
2014-11-14,53,neutral
2014-11-17,53,neutral
2014-11-18,54,neutral
2014-11-19,55,greed
2014-11-20,59,greed
2014-11-21,59,greed
2014-11-24,62,greed
2014-11-25,62,greed
2014-11-26,63,greed
2014-11-28,59,greed
2014-12-01,55,greed
2014-12-02,55,greed
2014-12-03,59,greed
2014-12-04,59,greed
2014-12-05,61,greed
2014-12-08,55,greed
2014-12-09,46,neutral
2014-12-10,41,fear
2014-12-11,37,fear
2014-12-12,31,fear
2014-12-15,22,extreme fear
2014-12-16,19,extreme fear
2014-12-17,21,extreme fear
2014-12-18,33,fear
2014-12-19,33,fear
2014-12-22,43,fear
2014-12-23,45,neutral
2014-12-24,47,neutral
2014-12-26,48,neutral
2014-12-29,47,neutral
2014-12-30,47,neutral
2014-12-31,45,neutral
2015-01-02,37,fear
2015-01-05,30,fear
2015-01-06,21,extreme fear
2015-01-07,21,extreme fear
2015-01-08,28,fear
2015-01-09,29,fear
2015-01-12,30,fear
2015-01-13,29,fear
2015-01-14,30,fear
2015-01-15,30,fear
2015-01-16,26,fear
2015-01-20,25,fear
2015-01-21,28,fear
2015-01-22,32,fear
2015-01-23,31,fear
2015-01-26,28,fear
2015-01-27,28,fear
2015-01-28,26,fear
2015-01-29,26,fear
2015-01-30,25,fear
2015-02-02,30,fear
2015-02-03,46,neutral
2015-02-04,42,fear
2015-02-05,50,neutral
2015-02-06,52,neutral
2015-02-09,52,neutral
2015-02-10,54,neutral
2015-02-11,61,greed
2015-02-12,64,greed
2015-02-13,73,greed
2015-02-17,77,extreme greed
2015-02-18,79,extreme greed
2015-02-19,77,extreme greed
2015-02-20,80,extreme greed
2015-02-23,77,extreme greed
2015-02-24,75,extreme greed
2015-02-25,77,extreme greed
2015-02-26,78,extreme greed
2015-02-27,74,greed
2015-03-02,74,greed
2015-03-03,66,greed
2015-03-04,66,greed
2015-03-05,65,greed
2015-03-06,58,greed
2015-03-09,58,greed
2015-03-10,52,neutral
2015-03-11,44,fear
2015-03-12,46,neutral
2015-03-13,39,fear
2015-03-16,42,fear
2015-03-17,40,fear
2015-03-18,39,fear
2015-03-19,43,fear
2015-03-20,43,fear
2015-03-23,48,neutral
2015-03-24,44,fear
2015-03-25,44,fear
2015-03-26,37,fear
2015-03-27,36,fear
2015-03-30,37,fear
2015-03-31,37,fear
2015-04-01,35,fear
2015-04-02,40,fear
2015-04-06,43,fear
2015-04-07,48,neutral
